"Variable","Coefficient","CI_low","Q_25","Q_50","Q_75","CI_high","Species"
"(Intercept)",-0.634784196686474,-2.70929186837087,-1.31345725911405,-0.6362027310825,0.0453711639410048,1.46449573146831,"Eucoleus"
"sex[male]",0.251616414021604,-0.477284667588841,0.00508635528193708,0.248462905061185,0.49584744143842,0.998689426513538,"Eucoleus"
"weight_kg",-0.250396987267317,-0.603220029562698,-0.355930052523181,-0.243742551229736,-0.137275454754348,0.064210844187785,"Eucoleus"
"season[spring]",0.766867724422298,-0.22885862388077,0.430061103962781,0.763812598207663,1.0994769494887,1.78507553597443,"Eucoleus"
"season[winter]",1.39745095768877,0.632622164739439,1.11798999802554,1.38092418640971,1.65814444890778,2.25730984805086,"Eucoleus"
"area[Brandenburg]",0.627742490830781,-0.197646645262086,0.333154892959516,0.616217868625625,0.910796892334192,1.52543698725252,"Eucoleus"
"Diet_Species_richness",0.113510583389352,0.00108598743186967,0.0719724183971975,0.110489666182559,0.151607703870794,0.243651849348235,"Eucoleus"
"BacM_Species_richness",-0.00949055255944423,-0.0554904272737781,-0.0238955973175337,-0.00924051176236249,0.00522339494244079,0.0348955525018976,"Eucoleus"
"FunM_Species_richness",0.0319004743292527,0.00265837819017998,0.0210792026865665,0.0309421505644456,0.0417946190856129,0.0661513752994995,"Eucoleus"
"(Intercept)",-1.04661465043911,-3.03131748214239,-1.71647519875267,-1.04504142913731,-0.369302546589466,0.913448725919357,"Clonorchis"
"sex[male]",0.00649738986763332,-0.687833059450687,-0.228317536762967,0.00749624558500237,0.241120383119784,0.695159456120852,"Clonorchis"
"weight_kg",-0.106461649963196,-0.413028215128863,-0.206307294224638,-0.104677515487239,-0.0037755763707749,0.187023023454327,"Clonorchis"
"season[spring]",1.30302200487897,0.33529377118376,0.952026576308631,1.28878563977553,1.63625339171957,2.36086548861489,"Clonorchis"
"season[winter]",0.792820342472435,-0.0987354233333581,0.472721943549313,0.780727654913761,1.09793320610288,1.75213723991583,"Clonorchis"
"area[Brandenburg]",0.708459244190993,-0.0498773983445563,0.443419955591416,0.703401935609515,0.968551920106929,1.50528042448841,"Clonorchis"
