"Variable","Coefficient","CI_low","Q_25","Q_50","Q_75","CI_high","Species"
"(Intercept)",0.158740644083352,-2.46819844988776,-0.759597000074123,0.127724761774049,1.03167545673281,2.97182261088047,"Eucoleus"
"sex[male]",0.279003898929427,-0.397863281774649,0.0491546354213877,0.276283976377484,0.506782509432052,0.964134729585485,"Eucoleus"
"weight_kg",-0.309763735558253,-0.641325463172301,-0.406718333526506,-0.302093161114133,-0.203572818510369,-0.0241265357701302,"Eucoleus"
"season[spring]",1.13488319960979,0.261347187812429,0.833805601309822,1.12641367740588,1.42877866982336,2.05731260972437,"Eucoleus"
"season[winter]",1.46238681817549,0.755792088887972,1.20715717536595,1.44749398192284,1.70222816924422,2.25135066930706,"Eucoleus"
"human_fpi_1000m",0.00618175511139489,-0.0319822933005145,-0.00625721118575263,0.00624901946330201,0.0188029852196313,0.043724005514258,"Eucoleus"
"tree_cover_1000m",-0.01842382480638,-0.0412879389070193,-0.0251956642955147,-0.0179973722199611,-0.0111719327841468,0.0017639808094524,"Eucoleus"
"Diet_Species_richness",0.0673590610732134,-0.0306298405350664,0.032619187100114,0.0656736418647953,0.100323463811324,0.173842604486425,"Eucoleus"
"BacM_Species_richness",-0.00897965715527142,-0.0491433788875785,-0.0216751931147009,-0.00869164255088838,0.00393010067582876,0.0297000446712658,"Eucoleus"
"FunM_Species_richness",0.0348432409038767,0.00664745283530554,0.0243969262328052,0.0340169043621341,0.0443640163023693,0.0680440986718461,"Eucoleus"
"(Intercept)",0.296697840418034,-2.38766512995506,-0.667012651979055,0.262054908628093,1.21890031882493,3.17610835894335,"Clonorchis"
"sex[male]",0.0698782756390538,-0.594348944347921,-0.159134488860708,0.0688195606912912,0.295976181481614,0.749369344094219,"Clonorchis"
"weight_kg",-0.242156439764167,-0.537766133441296,-0.335900470672551,-0.238218149740869,-0.143641260571662,0.0294918041585868,"Clonorchis"
"season[spring]",1.61366289619028,0.704096657018427,1.28513713828281,1.59683833106502,1.92248533271399,2.61430780495708,"Clonorchis"
"season[winter]",1.12610311410955,0.292397920250821,0.824228068874272,1.11475595971495,1.4137598320559,2.03625094145286,"Clonorchis"
"human_fpi_1000m",-0.000215558558951224,-0.0389813067709039,-0.0130913056503262,4.48433282576589e-06,0.0128539440708153,0.0378224839346594,"Clonorchis"
"tree_cover_1000m",-0.0240756255684209,-0.0477886559457748,-0.0316252766457913,-0.0236821017267928,-0.016067730765523,-0.00253001579984642,"Clonorchis"
"Diet_Species_richness",0.0200827448995644,-0.0810703603579118,-0.0142796032764086,0.020700197935286,0.0544315129797711,0.12092106790661,"Clonorchis"
"BacM_Species_richness",-0.00990845079767087,-0.0479870892784697,-0.0225827711657209,-0.00970672608639752,0.00290866211130109,0.0272018917085359,"Clonorchis"
