"species1","species2","mean","support"
"Eucoleus","Eucoleus",1,1
"Clonorchis","Eucoleus",0.921715492055143,0.967233333333333
"Mesocestoides","Eucoleus",0.442915313006401,0.732566666666667
"Angiostrongylus","Eucoleus",-0.154286156882094,0.419383333333333
"Uncinaria","Eucoleus",0.946079704439761,0.9805
"Crenosoma","Eucoleus",0.829602083839758,0.926216666666667
"Capillaria","Eucoleus",0.998759684710513,0.99995
"Alaria","Eucoleus",0.965571274041073,0.987416666666667
"Strongyloides","Eucoleus",0.534294591084303,0.774816666666667
"Toxocara","Eucoleus",0.695543452385382,0.8568
"Pearsonema","Eucoleus",0.367370842102869,0.689516666666667
"Eucoleus","Clonorchis",0.921715492055143,0.967233333333333
"Clonorchis","Clonorchis",1,1
"Mesocestoides","Clonorchis",0.412024236716285,0.7179
"Angiostrongylus","Clonorchis",-0.138225329665641,0.42685
"Uncinaria","Clonorchis",0.874529202279929,0.949366666666667
"Crenosoma","Clonorchis",0.768495307077132,0.899833333333333
"Capillaria","Clonorchis",0.921783945435711,0.96735
"Alaria","Clonorchis",0.889702546691955,0.9548
"Strongyloides","Clonorchis",0.495304069270897,0.7572
"Toxocara","Clonorchis",0.646014220105346,0.835483333333333
"Pearsonema","Clonorchis",0.335380899084999,0.675383333333333
"Eucoleus","Mesocestoides",0.442915313006401,0.732566666666667
"Clonorchis","Mesocestoides",0.412024236716285,0.7179
"Mesocestoides","Mesocestoides",1,1
"Angiostrongylus","Mesocestoides",-0.0751832951324158,0.459766666666667
"Uncinaria","Mesocestoides",0.422908461637545,0.724216666666667
"Crenosoma","Mesocestoides",0.351075267664131,0.6882
"Capillaria","Mesocestoides",0.442967143329165,0.73245
"Alaria","Mesocestoides",0.428590487644511,0.726033333333333
"Strongyloides","Mesocestoides",0.226632608430935,0.622116666666667
"Toxocara","Mesocestoides",0.307568975568368,0.664383333333333
"Pearsonema","Mesocestoides",0.158795847446879,0.58465
"Eucoleus","Angiostrongylus",-0.154286156882094,0.419383333333333
"Clonorchis","Angiostrongylus",-0.138225329665641,0.42685
"Mesocestoides","Angiostrongylus",-0.0751832951324158,0.459766666666667
"Angiostrongylus","Angiostrongylus",1,1
"Uncinaria","Angiostrongylus",-0.145940519460057,0.422166666666667
"Crenosoma","Angiostrongylus",-0.141679937839652,0.424416666666667
"Capillaria","Angiostrongylus",-0.154203779635343,0.419366666666667
"Alaria","Angiostrongylus",-0.151238555139935,0.420633333333333
"Strongyloides","Angiostrongylus",-0.0945720503930071,0.450016666666667
"Toxocara","Angiostrongylus",-0.110442535596356,0.4416
"Pearsonema","Angiostrongylus",-0.0933907840886906,0.449616666666667
"Eucoleus","Uncinaria",0.946079704439761,0.9805
"Clonorchis","Uncinaria",0.874529202279929,0.949366666666667
"Mesocestoides","Uncinaria",0.422908461637545,0.724216666666667
