"species1","species2","mean","support"
"Eucoleus","Eucoleus",1,1
"Clonorchis","Eucoleus",0.939658220310523,0.975566666666667
"Mesocestoides","Eucoleus",0.651923441216708,0.841783333333333
"Angiostrongylus","Eucoleus",-0.40231310598204,0.290116666666667
"Uncinaria","Eucoleus",0.964394011010541,0.988233333333333
"Crenosoma","Eucoleus",0.791079248485133,0.9079
"Capillaria","Eucoleus",0.998801901187275,0.999966666666667
"Alaria","Eucoleus",0.983399063886447,0.9951
"Strongyloides","Eucoleus",0.84009038668627,0.927983333333333
"Toxocara","Eucoleus",0.714925335660012,0.866266666666667
"Pearsonema","Eucoleus",0.402276250187092,0.707583333333333
"Eucoleus","Clonorchis",0.939658220310523,0.975566666666667
"Clonorchis","Clonorchis",1,1
"Mesocestoides","Clonorchis",0.616470719328186,0.826266666666667
"Angiostrongylus","Clonorchis",-0.37449115195921,0.302166666666667
"Uncinaria","Clonorchis",0.908678396651575,0.96495
"Crenosoma","Clonorchis",0.745625701625206,0.888066666666667
"Capillaria","Clonorchis",0.939753838295152,0.97565
"Alaria","Clonorchis",0.924926441247857,0.971083333333333
"Strongyloides","Clonorchis",0.792701247071614,0.908183333333333
"Toxocara","Clonorchis",0.675644751696097,0.850133333333333
"Pearsonema","Clonorchis",0.376207864410849,0.695516666666667
"Eucoleus","Mesocestoides",0.651923441216708,0.841783333333333
"Clonorchis","Mesocestoides",0.616470719328186,0.826266666666667
"Mesocestoides","Mesocestoides",1,1
"Angiostrongylus","Mesocestoides",-0.273915185036145,0.349966666666667
"Uncinaria","Mesocestoides",0.63111845689003,0.8338
"Crenosoma","Mesocestoides",0.501821090911772,0.76805
"Capillaria","Mesocestoides",0.651837830824057,0.84235
"Alaria","Mesocestoides",0.643091905216401,0.838683333333333
"Strongyloides","Mesocestoides",0.541081630337527,0.78655
"Toxocara","Mesocestoides",0.462111315478328,0.747383333333333
"Pearsonema","Mesocestoides",0.265005013561746,0.6412
"Eucoleus","Angiostrongylus",-0.40231310598204,0.290116666666667
"Clonorchis","Angiostrongylus",-0.37449115195921,0.302166666666667
"Mesocestoides","Angiostrongylus",-0.273915185036145,0.349966666666667
"Angiostrongylus","Angiostrongylus",1,1
"Uncinaria","Angiostrongylus",-0.385367541108721,0.296233333333333
"Crenosoma","Angiostrongylus",-0.325047905747429,0.32615
"Capillaria","Angiostrongylus",-0.402259801836508,0.289766666666667
"Alaria","Angiostrongylus",-0.399343563237615,0.29025
"Strongyloides","Angiostrongylus",-0.340167115111688,0.3193
"Toxocara","Angiostrongylus",-0.281030851224368,0.3505
"Pearsonema","Angiostrongylus",-0.20004582120341,0.3924
"Eucoleus","Uncinaria",0.964394011010541,0.988233333333333
"Clonorchis","Uncinaria",0.908678396651575,0.96495
"Mesocestoides","Uncinaria",0.63111845689003,0.8338
"Angiostrongylus","Uncinaria",-0.385367541108721,0.296233333333333
"Uncinaria","Uncinaria",1,1
"Crenosoma","Uncinaria",0.763369474481518,0.89795
"Capillaria","Uncinaria",0.964567466135583,0.988266666666667
"Alaria","Uncinaria",0.94945121507361,0.983266666666667
"Strongyloides","Uncinaria",0.813588471106401,0.918483333333333
"Toxocara","Uncinaria",0.692694587985767,0.858533333333333
"Pearsonema","Uncinaria",0.387648837183995,0.702166666666667
"Eucoleus","Crenosoma",0.791079248485133,0.9079
"Clonorchis","Crenosoma",0.745625701625206,0.888066666666667
"Mesocestoides","Crenosoma",0.501821090911772,0.76805
"Angiostrongylus","Crenosoma",-0.325047905747429,0.32615
