IZW ID,LLBB ID,date_found,location_lat,location_long,location_qual,area,condition,sex (m/f),age (j/a), weight (kg) ,instestil,muscle,hair,vibrisses,anthropogenic food,food comment,origin,date_dissect,species,location comment
1,16-51218-UTF 1034,22/07/2016,52.432412,13.259313,1,Berlin,autolytic,male,juvenil, 4.00    ,yes,yes,yes,yes,yes,"Raisins, doener meat",BA Steglitz-Zehlendorf   R06,22/07/2016 10:52,Rotfuchs,"Fundort: Teltower Damm 27, 14169 BerlinPolizei A 46Vorgangsnummer: 160722-0800-039088"
2,16-51218-UTF 1094,01/08/2016,52.534716,13.475296,1,Berlin,excellent,male,juvenil, 5.40    ,yes,yes,yes,yes,yes,"bread, chicken meat",BA Lichtenberg   R11,01/08/2016 10:31,Rotfuchs,"Fundort: Weißenseer Weg 32, 13055 BerlinPolizei A 61Vorgangsnummer: 160801-0725-019505"
3,16-51218-UTF 1096,29/07/2016,52.640804,13.30027,1,Berlin,excellent,male,juvenil, 5.00    ,yes,yes,yes,yes,no,NA,BA Reinickendorf  R12,01/08/2016 11:29,Rotfuchs,"Fundort: Zeltinger Straße 70, 13465 BerlinPolizei A 12Vorgangsnummer: 160729-2211-031544"
4,16-51218-UTF 1134,06/08/2016,52.420793,13.299527,1,Berlin,excellent,female,juvenil, 4.30    ,yes,yes,yes,yes,yes,chicken meat,BA Steglitz-Zehlendorf   R06,08/08/2016 10:04,Rotfuchs,"Fundort: Wismarer Straße 35, 12207 Berlin- LichterfeldePolizei A 46Vorgangsnummer: 160806-2200-243557"
5,16-51218-UTF 1135,08/08/2016,52.5100647,13.5190149,1,Berlin,excellent,male,juvenil, 4.50    ,yes,yes,yes,yes,yes,dog/cat food,BA Lichtenberg   R11,08/08/2016 10:07,Rotfuchs,"Fundort: Alt- Friedrichsfelde/ Rhinstraße, 10315 Berlin- LichtenbergPolizei A 64Vorgangsnummer: 160808-0500-288345"
6,16-51218-UTF 1184,10/08/2016,52.517514 ,13.516746,3,Berlin,excellent,female,juvenil, 3.00    ,yes,yes,yes,yes,no,empty,BA Lichtenberg   R11,12/08/2016 09:52,Rotfuchs,"Fundort: Kleingartenanlage Bielefeldt, 10315 Berlin"
7,16-51218-UTF  1202,14/08/2016,52.411299,13.014198,4,Brandenburg,excellent,female,juvenile, 3.10    ,yes,yes,yes,yes,no,mirabelles,VLÜA Potsdam/Stadt,16/08/2016,Rotfuchs, 14409 Potsdam
8,16-51218-UTF 1221,14/08/2016,52.456617,13.369451,1,Berlin,excellent,female,adult, 3.80    ,yes,yes,yes,yes,no,empty,BA Tempelhof-Schöneberg   R07,17/08/2016 10:00,Rotfuchs,"Fundort: Alboinstraße 18, 12103 Berlin- SchönebergPolizei A 44Vorgangsnummer: 160814-0150-034104274"
9,16-51218-UTF 1222,NA,52.509809,13.543729,2,Berlin,excellent,male,adult, 7.30    ,yes,yes,yes,yes,no,"mouse, parts of feathers, mirabelles",BA Marzahn-Hellersdorf   R10,17/08/2016 10:00,Rotfuchs,Fundort: B1/ Auffahrt zur Märkischen AlleePolizei A 62
10,16-51218-UTF 1227,16/08/2016,52.445868,13.294022,4,Berlin,excellent,male,juvenil, 6.90    ,yes,yes,yes,yes,yes,"undefined, small piece of sausage",BA Steglitz-Zehlendorf   R06,17/08/2016 10:00,Rotfuchs,"Fundort: Unter den Eichen, 12205 BerlinPolizei A 46Vorgangsnummer: 160816-0300-261895276"
11,16-51218-UTF 1224,13/08/2016,52.404523,13.406874,1,Berlin,excellent,female,juvenil, 4.50    ,yes,yes,yes,yes,no,"fur, herbal matter",BA Tempelhof-Schöneberg   R07,17/08/2016 10:00,Rotfuchs,"Fundort: Lichtenrader Damm/ Potsdamer Straße, 12305 BerlinPolizei A 47Vorgangsnummer: 160813-2230-244581273"
12,16-51218-UTF 1226,12/08/2016,52.599894,13.252054,1,Berlin,excellent,female,juvenil, 4.80    ,yes,yes,yes,yes,NA,mash,BA Reinickendorf  R12,17/08/2016 10:00,Rotfuchs,"Fundort: Heiligenseestraße/ Konradshöher Straße, 13505 BerlinPolizei A 11Vorgangsnummer: 160813-2330-019415272"
13,16-51218-UTF 1245,NA,52.425288,13.157365,1,Berlin,excellent,male,juvenil, 5.80    ,yes,yes,yes,yes,yes,bread,BA Steglitz-Zehlendorf   R06,18/08/2016 09:55,Rotfuchs,"Fundort: Lindenstraße 15?, 14109 BerlinPolizei A 43"
14,16-51218-UTF 1253,22/08/2016,52.488241,13.2963,1,Berlin,excellent,female,juvenil, 5.70    ,yes,yes,yes,yes,yes,bread roll,BA Charlottenburg-Wilmersdf. R04,22/08/2016 09:46,Rotfuchs,"Fundort: Charlottenbrunner Str. 5a, 14193 BerlinVorgangsnummer: 160822-0030-226060 Pol.A 26"
15,16-51218-UTF 1254,NA,52.475114,13.303252,3,Berlin,excellent,female,juvenil, 4.40    ,yes,yes,yes,yes,no,"mouse fur, mirabelles",BA Charlottenburg-Wilmersdf. R04,22/08/2016 09:49,Rotfuchs,"Fundort: Mecklenburgische Straße, 14197 BerlinPol.A 26"
16,16-51218-UTF  1252,18/08/2016,52.40975,12.961001,4,Brandenburg,excellent,male,juvenile, 2.40    ,yes,yes,yes,yes,yes,especially spareribs,VLÜA Potsdam/Stadt,22/08/2016,Rotfuchs, 14476 Golm
17,16-51218-UTF  1275,22/08/2016,52.475543,12.988993,4,Brandenburg,autolytic,male,juvenile, 4.80    ,yes,yes,yes,yes,no,mirabelles,VLÜA Potsdam/Stadt,23/08/2016,Rotfuchs, 14476 Fahrland
18,16-51218-UTF  1278,23/08/2016,52.475543,12.988993,4,Brandenburg,excellent,male,juvenile, 5.50    ,yes,yes,yes,yes,no,empty,VLÜA Potsdam/Stadt,24/08/2016,Rotfuchs, 14476 Fahrland
19,16-51218-UTF  1281,23/08/2016,52.536145,12.950726,4,Brandenburg,autolytic,male,juvenile, 5.10    ,yes,yes,yes,yes,no,especially mirabelles,VLÜA Havelland,25/08/2016,Rotfuchs,14641 Wustermark
