"IZW_ID","date_found","location_lat","location_long","area","sex","age","weight_kg","condition"
"1","22.07.2016","52.432412","13.259313","Berlin","male","juvenil","4","autolytic"
"100","22.11.2016","52.421303","13.264686","Berlin","male","adult","6.4","autolytic"
"102","22.11.2016","52.454984","13.294603","Berlin","female","adult","5.4","excellent"
"104","23.11.2016","52.536649","13.527045","Berlin","male","adult","6.5","excellent"
"105",NA,"52.458202","13.292312","Berlin","female","juvenil","4.8","autolytic"
"106","24.11.2016","52.483395","13.293009","Berlin","male","adult","7.5","excellent"
"108","28.11.2016","52.485054","13.376573","Berlin","male","adult","6.6","excellent"
"111","26.11.2016","52.527793","13.228279","Berlin","male","adult","6","excellent"
"115","01.12.2016","52.547919","13.300823","Berlin","male","adult","6.3","excellent"
"116","01.12.2016","52.516134","13.519876","Berlin","male","adult","6.7","excellent"
"117","01.12.2016","52.441958","13.282706","Berlin","male","adult","6.2","excellent"
"118","03.12.2016","52.417311","13.161543","Berlin","male","adult","5.7","autolytic"
"120","08.12.2016","52.562985","13.502351","Berlin","male","adult","6.1","autolytic"
"123","08.12.2016","52.404089","13.388862","Berlin","male","adult","5","excellent"
"124","09.12.2016","52.469222","13.284357","Berlin","female","juvenil","3.8","excellent"
"125","09.12.2016","52.416449","13.250409","Berlin","male","adult","5","autolytic"
"126","10.12.2016","52.461244","13.277909","Berlin","female","adult","4.9","excellent"
"132","12.12.2016","52.433924","13.165375","Berlin","male","adult","5","excellent"
"133","14.12.2016","52.531113","13.623345","Berlin","male","adult","7.7","excellent"
"138","17.12.2016","52.487275","13.259039","Berlin","female","adult","4.5","autolytic"
"143","21.12.2016","52.563817","13.517786","Berlin","male","adult","7.5","excellent"
"144",NA,"52.439486","13.298063","Berlin","male","adult","7.2","excellent"
"145","26.12.2016","52.53486","13.566689","Berlin","male","adult","6.9",NA
"146","23.12.2016","52.606514","13.347563","Berlin","male","adult","5.3","autolytic"
"148","31.12.2016","52.408847","13.385098","Berlin","female","adult","3.7","excellent"
"152","02.01.2017","51.756432","14.198034","Brandenburg","male","adult","4.5",NA
"153","02.01.2017","52.419504","12.773698","Brandenburg","male","adult","5",NA
"157","04.01.2017","52.45479","13.26097","Berlin","female","adult","3.3","autolytic"
"167","08.01.2017","52.510534","13.507543","Berlin","male","adult","7.7","autolytic"
"168","08.01.2017","52.530057","13.392309","Berlin","male","adult","4.1","excellent"
"171",NA,"53.020627","12.611338","Brandenburg","male","adult","6.2",NA
"172","05.01.2017","52.956663","12.980615","Brandenburg","male","adult","6.4",NA
"173",NA,"52.956663","12.980615","Brandenburg","male","adult","7",NA
"177","09.01.2017","52.626771","13.189466","Brandenburg","male","adult","4.7",NA
"181","16.01.2017","52.577227","13.518879","Berlin","male","adult","7.3","autolytic"
"184","09.01.2017","52.4705","13.303754","Berlin","male","adult","5","autolytic"
"187","17.01.2017","52.448881","13.404809","Berlin","male","adult","6.5","autolytic"
"189","17.01.2017","52.57359","13.32554","Berlin","male","adult","4.3","autolytic"
"190","16.01.2017","52.547446","13.567721","Berlin","male","adult","5.3","excellent"
"193","14.01.2017","53.207525","14.00882","Brandenburg","male","adult","6.6",NA
"195","22.01.2017","52.493071","13.47353","Berlin","female","adult","7.1","autolytic"
"196","21.01.2017","52.440489","13.404942","Berlin","male","adult","5.3","autolytic"
"197","21.01.2017","52.40975","12.961001","Brandenburg","male","adult","5.5",NA
"199","20.01.2017","52.611511","13.326616","Berlin","male","adult","4.9","excellent"
"2","01.08.2016","52.534716","13.475296","Berlin","male","juvenil","5.4","excellent"
"203","24.01.2017","52.417655","13.326997","Berlin","male","adult","6.1","excellent"
"205","20.01.2017","52.994581","12.738088","Brandenburg","male","adult","5.7",NA
"208","10.02.2016","52.439874","13.389058","Berlin","female","adult","4.3","excellent"
"21","11.05.2016","52.558003","13.453086","Berlin","female","juvenil"," NA ","autolytic"
"216","28.01.2017","52.744936","13.717939","Brandenburg","male","adult","7",NA
"22","04.09.2016","52.4734","13.31093","Berlin","male","juvenil","4.5","excellent"
"220","05.02.2017","52.544075","13.246957","Berlin","male","adult","4.7","autolytic"
"221","04.02.2017","52.425331","13.313607","Berlin","male","adult","4","autolytic"
"222","05.02.2017","52.433292","13.311101","Berlin","female","adult","5.5",NA
"223","04.02.2017","52.546802","13.337238","Berlin","male","adult","4.7",NA
"224","03.02.2017","52.41454","13.562759","Berlin","male","adult","6.4",NA
"225","07.02.2017","52.488987","13.270896","Berlin","female","adult","4","autolytic"
"226","07.02.2017","52.516456","13.586864","Berlin","male","adult","6.5","autolytic"
"229","05.02.2017","52.244785","13.773701","Brandenburg","male","adult","5.3",NA
"23","06.09.2016","52.534672","13.566586","Berlin","male","juvenil","4.3","autolytic"
"230","06.02.2017","52.282676","13.455019","Brandenburg","male","adult","3.1",NA
"232","12.02.2017","52.572365","14.492766","Brandenburg","male","adult","7.9",NA
"235","12.02.2017","52.429832","13.397842","Berlin","female","adult","4.2","excellent"
"239","10.02.2017","52.754049","13.886677","Brandenburg","male","adult","5.2",NA
"240",NA,"52.446775","13.3889","Berlin","female","adult"," NA ","excellent"
"241","15.02.2017","52.554271","13.577902","Berlin","male","adult"," NA ","excellent"
"242","15.02.2017","52.754049","13.886677","Brandenburg","male","adult","6",NA
"244","12.02.2017","52.414782","14.532541","Brandenburg","male","adult","3.7",NA
"245","12.02.2017","53.445085","13.803439","Brandenburg","male","adult","5.2",NA
"246","12.02.2017","53.124485","11.923303","Brandenburg","male","adult","5.4",NA
"248",NA,"52.474867","13.302874","Berlin","male","adult","4.5","autolytic"
"249","19.02.2017","52.423544","13.571528","Berlin","female","adult","2.5","autolytic"
"252","20.02.2017","52.432428","13.448092","Berlin","male","adult","6.2","excellent"
"256","22.02.2017","52.56203","13.348919","Berlin","female","adult","4.8","autolytic"
"262","23.02.2017","52.387665","13.394865","Berlin","female","adult","5.7","excellent"
"265","28.02.2017","52.618334","13.311031","Berlin","female","adult","4.1","excellent"
"267",NA,"52.546699","13.358055","Berlin","female","adult","8.1","excellent"
"27","31.08.2016","52.452453","13.433104","Berlin","male","adult"," NA ","excellent"
"271","04.03.2017","52.5026","13.21147","Berlin","female","adult","4.3","autolytic"
"275","06.03.2017","52.462704","13.389555","Berlin","male","adult","4.5","autolytic"
"276","07.03.2017","52.429739","13.396354","Berlin","female","adult","5.2","excellent"
"277","07.03.2017","52.526661","13.35575","Berlin","female","adult","4.2","autolytic"
"278","07.03.2017","52.430307","13.333149","Berlin","male","adult","4.6","excellent"
"279","07.03.2017","52.50393","13.37846","Berlin","female","adult","3.2","autolytic"
"285","17.03.2017","52.550074","13.584388","Berlin","female","adult","3.8","autolytic"
"286","23.03.2017","52.598656","13.289026","Berlin","male","adult","4.2","autolytic"
"289","16.03.2017","52.365555","13.598579","Brandenburg","female","adult","5.4",NA
"29","09.09.2016","52.516667","13.442326","Berlin","male","juvenil"," NA ","autolytic"
"294","26.03.2017","52.558806","13.214874","Berlin","male","adult","5","autolytic"
"299","25.11.2016","52.440533","13.330611","Berlin","female","adult","4.3","autolytic"
"30","10.09.2016","52.435808","13.274282","Berlin","female","adult"," NA ","excellent"
"300","03.04.2017","52.555305","13.531688","Berlin","female","adult","5.1","excellent"
"307","01.04.2017","52.685505","13.202722","Brandenburg","female","adult","4",NA
"32","13.09.2016","52.560282","13.290839","Berlin","female","juvenil","4.5","autolytic"
"374","04.07.2017","52.650328","12.379337","Brandenburg","male","adult","3.7","autolytic"
"38","16.09.2016","52.569897","13.436023","Berlin","male","juvenil","6.2","excellent"
"41","19.09.2016","52.470168","13.445683","Berlin","male","juvenil","6","excellent"
"413","04.09.2017","48.404287","11.98757","Berlin","female","juvenil","3.9","excellent"
"416","06.09.2017","52.505195","13.605702","Berlin","female","adult"," NA ","excellent"
"418","10.09.2017","52.541389","13.512969","Berlin","male","adult","5.5","excellent"
"419","17.09.2017","52.542164","13.373034","Berlin","male","adult","5.6","excellent"
"426","21.09.2017","52.513058","13.545985","Berlin","female","adult","5.3","excellent"
"427","22.09.2017","52.532893","13.397836","Berlin","male","adult","4.6","excellent"
"429","28.09.2017","52.427757","13.519621","Berlin","male","juvenil","6.4","excellent"
"431","01.10.2017","52.60748","13.26052","Berlin","female","adult","6.1","excellent"
