Sample ID,User ID,Date ,Time ,ng/ul ,A260 ,A280 ,260/280 ,260/230 ,Constant ,Cursor Pos.,Cursor abs.,340 raw,welcher drop,,Legende
188,Default,5/30/2018,14:28,106.61,2.132,1.146,1.86,0.89,50,230,2.388,-0.045,nanodrop_4,,nanodrop_4
187,Default,5/30/2018,14:30,100.5,2.01,1.098,1.83,1.24,50,230,1.615,-0.074,nanodrop_4,,nanodrop_3
10,Default,5/30/2018,14:30,23.43,0.469,0.292,1.6,0.52,50,230,0.904,-0.063,nanodrop_4,,nanodrop_2
180,Default,5/30/2018,14:31,37.94,0.759,0.445,1.7,1.83,50,230,0.414,-0.019,nanodrop_4,,nanodrop_1
526,Default,5/30/2018,14:32,103.31,2.066,1.147,1.8,1.37,50,230,1.514,-0.049,nanodrop_4,,
191,Default,5/30/2018,14:33,46.13,0.923,0.517,1.78,0.24,50,230,3.847,-0.093,nanodrop_4,,
484,Default,5/30/2018,14:33,48.62,0.972,0.57,1.71,0.54,50,230,1.808,-0.052,nanodrop_4,,
186,Default,5/30/2018,14:34,25.18,0.504,0.304,1.66,0.76,50,230,0.661,-0.076,nanodrop_4,,
199,Default,5/30/2018,14:35,148.09,2.962,1.596,1.86,1.89,50,230,1.57,-0.032,nanodrop_4,,
209,Default,5/30/2018,14:36,36.27,0.725,0.44,1.65,0.94,50,230,0.774,-0.03,nanodrop_4,,
185,Default,5/30/2018,14:36,64.85,1.297,0.736,1.76,1.7,50,230,0.763,-0.055,nanodrop_4,,
222,Default,5/30/2018,14:37,117.75,2.355,1.284,1.83,1.53,50,230,1.539,-0.053,nanodrop_4,,
234,Default,5/30/2018,14:38,34.94,0.699,0.433,1.61,1.08,50,230,0.645,-0.052,nanodrop_4,,
183,Default,5/30/2018,14:39,32.5,0.65,0.407,1.6,1,50,230,0.652,-0.04,nanodrop_4,,
195,Default,5/30/2018,14:39,130.25,2.605,1.424,1.83,1.34,50,230,1.94,-0.037,nanodrop_4,,
182,Default,5/30/2018,14:40,160.91,3.218,1.736,1.85,2.02,50,230,1.593,-0.072,nanodrop_4,,
198,Default,5/30/2018,14:41,26.51,0.53,0.329,1.61,1.23,50,230,0.432,-0.067,nanodrop_4,,
190,Default,5/30/2018,14:41,139.53,2.791,1.505,1.85,1.49,50,230,1.876,-0.059,nanodrop_4,,
178,Default,5/30/2018,14:42,80.62,1.612,0.916,1.76,2.02,50,230,0.798,-0.042,nanodrop_4,,
545,Default,5/30/2018,14:43,26.69,0.534,0.316,1.69,0.6,50,230,0.895,-0.039,nanodrop_4,,
550,Default,5/30/2018,14:43,35.89,0.718,0.402,1.78,0.26,50,230,2.802,-0.055,nanodrop_4,,
544,Default,5/30/2018,14:44,26.16,0.523,0.306,1.71,0.13,50,230,4.095,-0.018,nanodrop_4,,
577,Default,5/30/2018,14:45,56.22,1.124,0.608,1.85,1.07,50,230,1.054,0,nanodrop_4,,
597,Default,5/30/2018,14:45,103.99,2.08,1.14,1.82,1.53,50,230,1.36,-0.018,nanodrop_4,,
565,Default,5/30/2018,14:46,24.03,0.481,0.259,1.86,0.32,50,230,1.499,-0.057,nanodrop_4,,
596,Default,5/30/2018,14:47,40,0.8,0.474,1.69,0.82,50,230,0.981,-0.044,nanodrop_4,,
552,Default,5/30/2018,14:47,140.18,2.804,1.545,1.82,1.43,50,230,1.954,0.081,nanodrop_4,,
620,Default,5/30/2018,14:48,66.36,1.327,0.761,1.74,1.76,50,230,0.756,0.001,nanodrop_4,,
609,Default,5/30/2018,14:49,89.05,1.781,0.977,1.82,1.95,50,230,0.912,-0.031,nanodrop_4,,
