"","R2","Pval"
"area",0.156,0.001
"season",0.104,0.001
"year",0.048,0.015
"weight_kg",0.051,0.024
"age",0.02,0.079
"Diet_Species_richness",0.023,0.202
"condition",0.01,0.258
"FunM_Species_richness",0.013,0.384
"sex",0.005,0.488
"BacM_Species_richness",0.002,0.905
"",0,0
"Eucoleus",0.104,0.001
"Angiostrongylus",0.157,0.001
"Strongyloides",0.17,0.001
"Capillaria",0.097,0.002
"Pearsonema",0.066,0.005
"Taenia",0.067,0.009
"Mesocestoides",0.057,0.011
"Uncinaria",0.06,0.012
"Crenosoma",0.058,0.015
"Alaria",0.042,0.037
"Aelurostrongylus",0.045,0.041
"Ancylostoma",0.016,0.325
"Clonorchis",0.016,0.337
"Toxocara",0.012,0.476
"Brachylaima",0.006,0.73
"Opisthorchis",0.005,0.755
