"","Df","SumOfSqs","R2","F","Pr(>F)"
"imperv_1000m",1,0.844900427171964,0.0168550447513059,2.45496508941295,0.014
"weight_kg",1,0.575616531997355,0.0114830601268382,1.6725266617185,0.089
"age",1,0.393673987497145,0.00785346114559238,1.14386957898742,0.307
"sex",1,0.262108386915259,0.0052288393390173,0.761589080589181,0.654
"season",2,1.09501373618068,0.0218445924904989,1.59085047675332,0.054
"year",2,0.629153825056612,0.0125510835783092,0.914043020166589,0.547
"Diet_Species_richness",1,0.657088894644389,0.0131083644517594,1.90925491941383,0.041
"BacM_Species_richness",1,0.447268276966419,0.00892262162695547,1.29959456788268,0.199
"FunM_Species_richness",1,0.54996456710191,0.0109713252497251,1.59799163218377,0.102
"Residual",128,44.0524613341334,0.878809127458126,NA,NA
"Total",139,50.127450839696,1,NA,NA
"tree_cover_1000m",1,0.467235964437876,0.00932096000516888,1.34607324141911,0.196
"weight_kg1",1,0.569718030481567,0.0113653900395511,1.64131671008643,0.08
"age1",1,0.377714321903099,0.00753507939414278,1.08816782164063,0.338
"sex1",1,0.275341666854381,0.00549283201603256,0.793239558188367,0.632
"season1",2,1.09038636584896,0.0217522803889617,1.57066238644892,0.053
"year1",2,0.616034434367378,0.0122893628949418,0.887375470863329,0.556
"Diet_Species_richness1",1,0.655308472464213,0.0130728465438995,1.88789662354125,0.041
"BacM_Species_richness1",1,0.397836312121846,0.00793649598089674,1.14613782964321,0.312
"FunM_Species_richness1",1,0.521389603024033,0.0104012790255662,1.50208598310522,0.137
"Residual1",128,44.4301257968675,0.886343212204263,NA,NA
"Total1",139,50.127450839696,1,NA,NA
"human_fpi_1000m",1,1.11446895177646,0.0222327074907609,3.25816812625821,0.003
"weight_kg2",1,0.543809484152433,0.0108485365811139,1.58983588120432,0.097
"age2",1,0.383491219442305,0.00765032358554762,1.12114282402856,0.34
"sex2",1,0.218734612469049,0.00436356943760309,0.63947420098164,0.812
"season2",2,0.981549287666674,0.0195810732687285,1.43478766202025,0.101
"year2",2,0.661242328594987,0.0131912219256789,0.966576356984543,0.532
"Diet_Species_richness2",1,0.640587884847172,0.012779183343987,1.8727691113775,0.046
"BacM_Species_richness2",1,0.465039626487695,0.0092771449315238,1.35955091979372,0.182
"FunM_Species_richness2",1,0.551303213768833,0.0109980301119213,1.61174392175047,0.091
"Residual2",128,43.7828928095289,0.873431464718671,NA,NA
"Total2",139,50.127450839696,1,NA,NA
