"Row.names","effect.size","adj.p.value","exact.tax","zoonotic","transmission.fox","lifecycle","host.range"
"Angiostrongylus",0.272371385192685,0,"Species: A. vasorum","No","trophic","two.host","moderate"
"Clonorchis",0.340747399091536,4.04826306535992e-152,"Species: Metorchis bilis","Yes","trophic","two.host","wide"
"Toxocara",0.512000355988727,5.13342517662792e-05,"Species: T. canis","Yes","trophic","two.host","moderate"
"Crenosoma",0.723431445837931,1.59397679873239e-77,"Species: C. vulpis","No","trophic","two.host","moderate"
"Mesocestoides",1.55973027067766,1.05796076850002e-175,"Genus: two species","No","trophic","three.host","wide"
"Eucoleus",1.94081899038283,0,"Species: C. aerophila","Yes","fecal-oral","one.host","moderate"
"Capillaria",2.04150979547871,3.20785486692502e-232,"Species: C. aerophila","Yes","fecal-oral","one.host","moderate"
"Uncinaria",2.10802676843356,0,"Species: U. stenocephala","No","fecal-oral","one.host","moderate"
"Pearsonema",6.37357228390957,1.75193278875574e-95,"Species: P. plica","No","trophic","two.host","wide"
"Strongyloides",17.5728964217663,1.17459320148243e-238,"Genus: multiple species","Yes","fecal-oral","one.host","wide"
"Ancylostoma",26.3226222031856,7.70208805656488e-15,"Species: A. caninum","Yes","fecal-oral","one.host","moderate"
"Alaria",46.8404494401708,0,"Species: A. alata","Yes","trophic","three.host","wide"
