"","R2","Pval"
"area",0.156,0.001
"season",0.104,0.001
"weight_kg",0.051,0.03
"age",0.021,0.056
"condition",0.01,0.273
"sex",0.005,0.461
"",0,0
"Angiostrongylus",0.157,0.001
"Capillaria",0.096,0.001
"Strongyloides",0.17,0.001
"Eucoleus",0.104,0.003
"Taenia",0.067,0.007
"Pearsonema",0.066,0.007
"Uncinaria",0.06,0.013
"Crenosoma",0.058,0.016
"Mesocestoides",0.057,0.017
"Alaria",0.042,0.04
"Aelurostrongylus",0.045,0.048
"Ancylostoma",0.016,0.334
"Clonorchis",0.016,0.348
"Toxocara",0.012,0.463
"Brachylaima",0.006,0.727
"Opisthorchis",0.005,0.734
