"","Df","SumOfSqs","R2","F","Pr(>F)"
"imperv_1000m",1,0.846694935349788,0.0152153211584685,2.1645802592239,0.012
"weight_kg",1,0.53158606166803,0.00955273536424675,1.35900269049068,0.126
"age",1,0.462654438171711,0.00831401673527817,1.18277861588376,0.245
"sex",1,0.341747704987185,0.00614129229957119,0.873679887484777,0.566
"season",2,1.30430240064171,0.0234386425204334,1.66722813059053,0.031
"Residual",133,52.0241399789434,0.934886893407168,NA,NA
"Total",139,55.6475230809397,1,NA,NA
"tree_cover_1000m",1,0.424210370371746,0.00762316715794752,1.07575997025687,0.35
"weight_kg1",1,0.528892492856933,0.00950433125455836,1.34122457187047,0.147
"age1",1,0.446967667011428,0.00803212150810937,1.13347046124458,0.285
"sex1",1,0.341808028759239,0.00614237633294256,0.866794921890691,0.594
"season1",2,1.36758267660578,0.024575805011422,1.73403434034392,0.012
"Residual1",133,52.4466245439215,0.942479047407689,NA,NA
"Total1",139,55.6475230809397,1,NA,NA
"human_fpi_1000m",1,0.792995693177104,0.0142503322569036,2.02520743506175,0.02
"weight_kg2",1,0.51651183328493,0.00928184768500227,1.31910376571541,0.148
"age2",1,0.464503415844327,0.00834724332956749,1.18628105987634,0.237
"sex2",1,0.309747957911611,0.0055662487881281,0.79105583139364,0.683
"season2",2,1.18930194814872,0.0213720554357625,1.51866092631242,0.033
"Residual2",133,52.0778392211161,0.935851882308733,NA,NA
"Total2",139,55.6475230809397,1,NA,NA
